id,name,rating
1970324837384087,Radisson Blu Hotel Istanbul Asia,
1970324837384088,Dedeman Bostanci,
1970324837384089,The Green Park Bostancı,
1970324837384090,Park Dedeman Bostanci Hotel,
1970324837384091,Sheraton Grand Istanbul Atasehir,
1970324837384092,Selectum City Ataşehir,
1970324837384093,DoubleTree by Hilton Istanbul Avcilar,
1970324837384094,Retaj Royale Hotel,
1970324837384095,Wyndham Grand Istanbul Europe,
1970324837384096,Clarion Hotel Istanbul Mahmutbey,
1970324837384097,Wanda Vista Istanbul,
1970324837384098,G Tower Furnished Apartment Rentals,
1970324837384099,The Superior Living Batisehir,
1970324837384100,WestSide Residences by Rotana,
1970324837384101,Centro WestSide Istanbul,
1970324837384102,Mercure Istanbul West Hotel & Convention Center,
1970324837384103,Pullman Istanbul Hotel & Convention Center,
1970324837384104,Renaissance Polat Istanbul Hotel,
1970324837384105,Mercure Istanbul Bakirkoy,
1970324837384106,Hilton Istanbul Bakirkoy,
1970324837384107,Ramada Plaza by Wyndham Istanbul Atakoy,
1970324837384108,"Crowne Plaza Istanbul Florya, Bir IHG Oteli",
1970324837384109,Hampton By Hilton Istanbul Atakoy,
1970324837384110,Titanic Port Bakirkoy,
1970324837384111,Hilton Mall of Istanbul,
1970324837384112,DoubleTree by Hilton Istanbul Topkapi,
1970324837384113,Windsor Hotel & Convention Center Istanbul ,
1970324837384114,Surmeli Istanbul Hotel,
1970324837384115,The Stay Bosphorus,
1970324837384116,Conrad Istanbul Bosphorus,
1970324837384117,"Radisson Blu Bosphorus Hotel, Istanbul",
1970324837384118,Renaissance Istanbul Polat Bosphorus Hotel,
1970324837384119,Dedeman Istanbul,
1970324837384120,Swissotel The Bosphorus Istanbul,
1970324837384121,Movenpick Hotel Istanbul Bosphorus,
1970324837384122,Sofitel Istanbul Taksim,
1970324837384123,Golden Age Hotel İstanbul,
1970324837384124,Root Karakoy,
1970324837384125,Ramada by Wyndham İstanbul Pera,
1970324837384126,Richmond Istanbul,
1970324837384127,Triada Hotel Taksim,
1970324837384128,Palazzo Donizetti Hotel - Special Class,
1970324837384129,Orka Taksim Suites & Hotel,
1970324837384130,Ramada by Wyndham Istanbul Golden Horn,
1970324837384131,Ramada by Wyndham Istanbul Taksim,
1970324837384132,Pera Tulip Hotel,
1970324837384133,Titanic City Taksim,
1970324837384134,Avantgarde Hotel Taksim,
1970324837384135,Taxim Hill Hotel,
1970324837384136,Pera Rose Hotel - Special Class,
1970324837384137,Tulip City Hotel,
1970324837384138,Hotel The Pera Hill,
1970324837384139,Opale Hotel,
1970324837384140,Premist Hotels Taksim - Ozel Sinif,
1970324837384141,"DeCamondo Galata, a Tribute Portfolio Hotel",
1970324837384142,The Soul Istanbul Hotel,
1970324837384143,Radisson Blu Hotel Istanbul Pera,
1970324837384144,Grand Hotel de Pera,
1970324837384145,Manesol Boutique Galata,
1970324837384146,Dosso Dossi Hotels Golden Horn,
1970324837384147,Aspera Hotel Golden Horn,
1970324837384148,"Lokalist, İstanbul, Tribute Portfolio Hotel",
1970324837384149,Tonight Hotel Port,
1970324837384150,The Maestro Hotel,
1970324837384151,"Adahan DeCamondo Pera, Autograph Collection",
1970324837384152,Metropolitan Hotels Taksim,
1970324837384153,Pera Bosphorus Hotel,
1970324837384154,CVK Park Bosphorus Hotel Istanbul,
1970324837384155,The Artisan Istanbul MGallery,
1970324837384156,CVK Taksim Hotel Istanbul,
1970324837384157,DoubleTree by Hilton Hotel Istanbul - Piyalepasa,
1970324837384158,Rixos Pera Istanbul,
1970324837384159,The Marmara Pera,
1970324837384160,"Burdock Hotel Istanbul, Autograph Collection",
1970324837384161,The Galata Istanbul Hotel - MGallery,
1970324837384162,Elite World Istanbul Taksim Hotel,
1970324837384163,Dora Pera Hotel,
1970324837384164,UK Hotel Istanbul,
1970324837384165,Art Suites Istanbul,
1970324837384166,Walton Gardens Pera,
1970324837384167,The Westist Hotel & Spa,
1970324837384168,SuB Karakoy - Special Class,
1970324837384169,Point Hotel Taksim,
1970324837384170,Pera Palace Hotel,
1970324837384171,City Center Hotel Taksim,
1970324837384172,10 Karakoy Istanbul,
1970324837384173,Novotel Istanbul Bosphorus,
1970324837384174,Nidya Hotel Galataport,
1970324837384175,The Haze Karakoy,
1970324837384176,Metropolitan Hotels Bosphorus,
1970324837384177,Port Bosphorus Hotel,
1970324837384178,The Marmara Taksim,
1970324837384179,The Green Park Taksim,
1970324837384180,Elite World Comfy Taksim Hotel,
1970324837384181,Ramada Plaza by Wyndham Istanbul Tekstilkent,
1970324837384182,Ibis Istanbul Esenyurt,
