id,name,rating,hotel_id
1970324837383934,Juju Premier Palace (Ex.Amara Premier Palace),,4921
1970324837383935,Karmir Resort & Spa,,344
1970324837383936,NG Phaselis Bay,,52
1970324837383937,Ulusoy Kemer Holiday Club,,53
1970324837383938,Baia Salima Kemer,,59
1970324837383939,Mirage Park Resort,,57
1970324837383940,Kilikya Palace Goynuk,,103
1970324837383941,Seven Seas Hotel Life,,104
1970324837383942,Royal Taj Mahal,,364
1970324837383943,Barut B Suites,,323
1970324837383944,Sidekum Hotel,,129
1970324837383945,Villa Side Hotel,,73
1970324837383946,Villa Side Residence,,266
1970324837383947,Seamelia Beach Resort Hotel & Spa,,269
1970324837383948,Royal Dragon Hotel,,217
1970324837383949,Ali Bey Resort Sorgun,,2939
1970324837383950,Ali Bey Park Manavgat,,3774
1970324837383951,Ali Bey Club Manavgat,,3775
1970324837383952,Calido Maris Hotel,,6876
1970324837383953,Megasaray Resort Side,,2109457
1970324837383954,Selectum Family Comfort Side,,2109489
1970324837383955,Alexia Resort & SPA,,17214
1970324837383956,Ozlem Garden Hotel,,127
1970324837383957,Melas Holiday Village,,106
1970324837383958,Barut Arum Collection,,60
1970324837383959,Barut Acanthus & Cennet Collection,,61
1970324837383960,Melas Resort Hotel,,66
1970324837383961,Barut Hemera,,63
1970324837383962,Sunmelia Beach Resort Hotel & Spa,,363
1970324837383963,Sunrise Resort Hotel,,1351
1970324837383964,Starlight Resort Hotel,,2747
1970324837383965,Selge Beach Resort & Spa (Nonalcohol),,177
1970324837383966,Club Turan Prince,,71
1970324837383967,Club Nena,,67
1970324837383968,Selectum Family Resort Side,,130
1970324837383969,Bosphorus Sorgun Hotel,,420
1970324837383970,Barut Goia (Ex.Barut Sunwing Side Beach),,295
1970324837383971,Linda Resort Hotel,,65
1970324837383972,Voyage Sorgun,,72
1970324837383973,Marvida Family Eco (Ex.Otium Family Eco  Club),,69
1970324837383974,Cenger Beach Resort & Spa,,280
1970324837383975,Dobedan Beach Resort Comfort Side (Ex. Brand Alva Donna Beach Resort Comfort Side),,155
1970324837383976,Royal Alhambra Palace,,286
1970324837383977,Aishen K Club Kamelya Collection,,70
1970324837383978,Amelia Beach Resort Hotel & Spa,,216
1970324837383979,Liu Resort,,18540
1970324837383980,Sentido Kamelya Selin Hotel,,961
1970324837383981,Lago Hotel,,2026
1970324837383982,Miramare Beach Hotel,,944
1970324837383983,Selectum For Two Side (Adult Only +16),,3666
1970324837383984,Sunrise Queen Luxury Resort & Spa,,963
1970324837383985,Akra Antalya ,,42
1970324837383986,Sealife Family Resort Hotel,,43
1970324837383987,Porto Bello Hotel Resort & Spa,,126
1970324837383988,Antalya Adonis Hotel,,87
1970324837383989,Ramada Plaza Antalya,,254
1970324837383990,Akra V Hotel,,244
1970324837383991,The Marmara Antalya,,182
1970324837383992,Falcon Hotel,,192
1970324837383993,Holiday Inn Antalya,,417
1970324837383994,Megasaray West Beach Antalya,,2109421
1970324837383995,Antalya Nun Hotel,,9496
1970324837383996,Belconti Resort,,840
1970324837383997,Gural Premier Belek,,77
1970324837383998,Ethno Belek,,2109556
1970324837383999,Cornelia Diamond Golf Resort & Spa,,2434
1970324837384000,Cornelia De Luxe Resort,,1464
1970324837384001,Pine Beach Belek,,1292
1970324837384002,IC Hotels Santai Family Resort,,837
1970324837384003,Sensitive Premium Resort & Spa,,9087
1970324837384004,Kirman Belazur Resort & Spa Hotel,,3972
1970324837384005,Orange County Belek - Family Concept,,460
1970324837384006,Dobedan Exclusive Hotel & Spa (Ex. Brand Alva Donna Exclusive Hotel&Spa),,186
1970324837384007,Aydinbey Famous Resort,,169
1970324837384008,Megasaray Club Belek,,846
1970324837384009,Titanic Deluxe Golf Belek,,313
1970324837384010,The Land Of Legends Kingdom,,405
1970324837384011,Adora Resort Hotel,,45
1970324837384012,Papillon Belvil Hotel,,47
1970324837384013,Sirene Belek Hotel,,132
1970324837384014,Kempinski Hotel The Dome Belek,,166
1970324837384015,Calista  Luxury  Resort Hotel,,199
1970324837384016,Amon Hotels Belek (Adult Only +16),,223
1970324837384017,Cullinan Belek,,2109412
1970324837384018,Selectum Luxury Resort Belek,,249
1970324837384019,Maxx Royal Belek Golf Resort,,271
1970324837384020,Ela Excellence Resort Belek,,200
1970324837384021,Adam & Eve,,201
1970324837384022,Susesi Luxury Resort,,202
1970324837384023,Spice Hotel & Spa,,198
1970324837384024,Voyage Belek Golf & Spa,,196
1970324837384025,Papillon Zeugma Relaxury,,128
1970324837384026,Papillon Ayscha Hotel Resort & SPA,,122
1970324837384027,Limak Atlantis Hotel,,123
1970324837384028,Bellis Deluxe Hotel,,48
1970324837384029,Xanadu Resort Hotel,,49
1970324837384030,Limak Arcadia Sport Resort ,,46
1970324837384031,Selectum Family Resort Belek,,64
